timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-12-31T00:00:00.000Z";"2022-12-31T23:59:59.999Z";"2022-12-31T14:32:00.000Z";"2022-12-31T23:13:00.000Z";"2783";87772.0055805829;87912.4655586451;87323.1688730364;87481.6437515183;59413711363.56925;1683772811168.0923;"2022-12-31T23:59:59.999Z"
"2022-12-30T00:00:00.000Z";"2022-12-30T23:59:59.999Z";"2022-12-30T00:45:00.000Z";"2022-12-30T14:52:00.000Z";"2783";87967.7335840443;87975.492944261;86745.0448698083;87766.2459089483;84203148056.22467;1689223488700.3489;"2022-12-30T23:59:59.999Z"
"2022-12-29T00:00:00.000Z";"2022-12-29T23:59:59.999Z";"2022-12-29T15:13:00.000Z";"2022-12-29T02:33:00.000Z";"2783";87202.6005776844;87973.0875978541;86860.5582853985;87973.0875978541;76244088709.51085;1687485720081.6667;"2022-12-29T23:59:59.999Z"
"2022-12-28T00:00:00.000Z";"2022-12-28T23:59:59.999Z";"2022-12-28T15:06:00.000Z";"2022-12-28T21:43:00.000Z";"2783";88491.6078476226;88491.6078476226;86920.6787705421;87200.6031651318;90023147778.56934;1686398505406.0405;"2022-12-28T23:59:59.999Z"
"2022-12-27T00:00:00.000Z";"2022-12-27T23:59:59.999Z";"2022-12-27T00:14:00.000Z";"2022-12-27T19:20:00.000Z";"2783";88301.7831219956;88513.4387584928;87806.9065239677;88495.7038985997;82191840268.43758;1679042060022.8794;"2022-12-27T23:59:59.999Z"
"2022-12-26T00:00:00.000Z";"2022-12-26T23:59:59.999Z";"2022-12-26T23:58:00.000Z";"2022-12-26T16:04:00.000Z";"2783";87001.8893678949;88306.1252796002;87001.8893678949;88304.4632079523;61404374717.81758;1681971893526.8684;"2022-12-26T23:59:59.999Z"
"2022-12-25T00:00:00.000Z";"2022-12-25T23:59:59.999Z";"2022-12-25T02:03:00.000Z";"2022-12-25T19:28:00.000Z";"2783";87030.8432098979;87098.2497040194;86554.2871539138;87000.534622074;60214527484.03013;1674200581793.3381;"2022-12-25T23:59:59.999Z"
"2022-12-24T00:00:00.000Z";"2022-12-24T23:59:59.999Z";"2022-12-24T19:16:00.000Z";"2022-12-24T00:06:00.000Z";"2783";86768.1421234568;87119.6821318501;86750.32854273;87032.1341487356;50337867287.043495;1674669236100.774;"2022-12-24T23:59:59.999Z"
"2022-12-23T00:00:00.000Z";"2022-12-23T23:59:59.999Z";"2022-12-23T13:49:00.000Z";"2022-12-23T01:05:00.000Z";"2783";86960.4513734081;87273.1949459442;86768.0158308517;86768.0158308517;79207846279.82054;1670022514717.1694;"2022-12-23T23:59:59.999Z"
"2022-12-22T00:00:00.000Z";"2022-12-22T23:59:59.999Z";"2022-12-22T09:47:00.000Z";"2022-12-22T18:05:00.000Z";"2783";87479.1232282041;87723.5731734946;85918.8042806215;86965.7402057557;85519198062.79205;1684376841844.0237;"2022-12-22T23:59:59.999Z"
"2022-12-21T00:00:00.000Z";"2022-12-21T23:59:59.999Z";"2022-12-21T00:10:00.000Z";"2022-12-21T20:13:00.000Z";"2783";87901.8517883218;87963.9760283347;87224.5766169627;87473.0416047686;77389825938.50569;1682534269935.2573;"2022-12-21T23:59:59.999Z"
"2022-12-20T00:00:00.000Z";"2022-12-20T23:59:59.999Z";"2022-12-20T15:34:00.000Z";"2022-12-20T00:15:00.000Z";"2783";87032.95424765;88772.0528937663;86960.9152283981;87909.4058331477;120277146220.5723;1721749630842.6414;"2022-12-20T23:59:59.999Z"
"2022-12-19T00:00:00.000Z";"2022-12-19T23:59:59.999Z";"2022-12-19T00:32:00.000Z";"2022-12-19T22:37:00.000Z";"2783";88936.208028833;89193.5097221871;86801.8944346193;87021.8002390003;91388110977.55583;1678376886630.1694;"2022-12-19T23:59:59.999Z"
"2022-12-18T00:00:00.000Z";"2022-12-18T23:59:59.999Z";"2022-12-18T23:16:00.000Z";"2022-12-18T15:16:00.000Z";"2783";89159.8442833413;89235.2208636345;88640.7283076709;88930.5641644543;57992166326.68389;1711360546086.6904;"2022-12-18T23:59:59.999Z"
"2022-12-17T00:00:00.000Z";"2022-12-17T23:59:59.999Z";"2022-12-17T23:57:00.000Z";"2022-12-17T02:29:00.000Z";"2783";88470.3722066567;89186.2858506063;88293.5954379624;89157.093096363;76866691146.55022;1717002857309.6213;"2022-12-17T23:59:59.999Z"
"2022-12-16T00:00:00.000Z";"2022-12-16T23:59:59.999Z";"2022-12-16T08:03:00.000Z";"2022-12-16T23:35:00.000Z";"2783";92263.0446170204;93001.6029463953;88136.0786408808;88469.7214515376;127687147884.5116;1701456794927.4507;"2022-12-16T23:59:59.999Z"
"2022-12-15T00:00:00.000Z";"2022-12-15T23:59:59.999Z";"2022-12-15T00:34:00.000Z";"2022-12-15T23:41:00.000Z";"2783";94040.0086881565;94221.8873795967;92040.1178036381;92264.7367330134;110673419235.7605;1763274568096.1902;"2022-12-15T23:59:59.999Z"
"2022-12-14T00:00:00.000Z";"2022-12-14T23:59:59.999Z";"2022-12-14T18:58:00.000Z";"2022-12-15T01:59:00.000Z";"2783";94143.5966723936;97196.2914275587;93185.4269926558;93188.9574123183;137123023115.70361;1797530174961.474;"2022-12-14T23:59:59.999Z"
"2022-12-13T00:00:00.000Z";"2022-12-13T23:59:59.999Z";"2022-12-13T14:23:00.000Z";"2022-12-13T07:22:00.000Z";"2783";91586.4414078176;94538.1758667878;91089.3376131879;94134.3019149261;141771402753.75003;1820339018478.6238;"2022-12-13T23:59:59.999Z"
"2022-12-12T00:00:00.000Z";"2022-12-12T23:59:59.999Z";"2022-12-12T23:53:00.000Z";"2022-12-12T03:05:00.000Z";"2783";89595.6226623053;91619.0350025295;88568.0328878586;91586.4297868142;102771486543.78305;1733578767891.542;"2022-12-12T23:59:59.999Z"
"2022-12-11T00:00:00.000Z";"2022-12-11T23:59:59.999Z";"2022-12-11T19:13:00.000Z";"2022-12-11T23:48:00.000Z";"2783";89725.4279638728;90332.6376171136;89539.6694203298;89604.4874357871;73973586027.11702;1722952612177.4788;"2022-12-11T23:59:59.999Z"
"2022-12-10T00:00:00.000Z";"2022-12-10T23:59:59.999Z";"2022-12-10T16:04:00.000Z";"2022-12-10T23:53:00.000Z";"2783";89790.1736426139;90099.1949922177;89678.1444826341;89720.2547941104;66588620229.298004;1726131759422.415;"2022-12-10T23:59:59.999Z"
"2022-12-09T00:00:00.000Z";"2022-12-09T23:59:59.999Z";"2022-12-09T12:43:00.000Z";"2022-12-09T21:36:00.000Z";"2783";90051.7590321461;90304.6781487907;89601.5416142119;89787.9964453094;106232290505.58794;1721683707208.497;"2022-12-09T23:59:59.999Z"
"2022-12-08T00:00:00.000Z";"2022-12-08T23:59:59.999Z";"2022-12-08T20:06:00.000Z";"2022-12-08T11:49:00.000Z";"2783";87698.8648774822;90063.8585754802;87352.0422338871;90063.8585754802;106695050427.40059;1724948868314.3926;"2022-12-08T23:59:59.999Z"
"2022-12-07T00:00:00.000Z";"2022-12-07T23:59:59.999Z";"2022-12-07T00:43:00.000Z";"2022-12-07T08:06:00.000Z";"2783";89472.1100775618;89577.8568070407;87701.2267113506;87701.2267113506;103010579677.30017;1696006012154.4858;"2022-12-07T23:59:59.999Z"
